timestamp,config_name,gpu_freq_mhz,cpu_freq_mhz,target_gpu_freq_mhz,target_cpu_freq_mhz,workload,phase,prompt_length,output_length,repeat,ttft_ms,tpot_ms,total_time_ms,output_tokens,tokens_per_second,total_energy_j,avg_power_w,max_power_w,energy_per_token_j,tokens_per_joule,avg_gpu_soc_w,avg_cpu_cv_w,avg_sys_5v0_w,avg_temp_cpu_c,max_temp_cpu_c,power_samples,model,runtime,phase_note
2026-05-14T04:25:14.919755,GPU306_CPU1036,306,1036,306,1036,short_short,prefill,128,64,0,82.9152949154377,82.95830199494958,82.95830199494958,1,12.054248652062322,6.054,12.107,12.107,6.054,0.16518004625041294,5.591,0.798,5.718,54.2,54.2,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-14T04:25:15.811819,GPU306_CPU1036,306,1036,306,1036,short_short,prefill,128,64,1,82.6400329824537,82.679009065032,82.679009065032,1,12.094968375992991,10.953,10.953,12.107,10.953,0.09129918743723181,4.992,0.598,5.363,54.0,54.2,2,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-14T04:25:16.703946,GPU306_CPU1036,306,1036,306,1036,short_short,prefill,128,64,2,82.88578898645937,82.92969199828804,82.92969199828804,1,12.05840725925575,4.849,9.698,9.698,4.849,0.20622808826562178,4.392,0.399,4.907,54.1,54.1,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-14T04:25:17.596019,GPU306_CPU1036,306,1036,306,1036,short_long,prefill,128,256,0,82.80028402805328,82.8388121444732,82.8388121444732,1,12.071636158374316,4.849,9.698,9.698,4.849,0.20622808826562178,4.392,0.399,4.907,53.8,53.8,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-14T04:25:18.488234,GPU306_CPU1036,306,1036,306,1036,short_long,prefill,128,256,1,82.98079506494105,83.02389807067811,83.02389807067811,1,12.044724750802493,4.799,9.598,9.598,4.799,0.20837674515524066,4.392,0.399,4.807,53.8,53.8,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-14T04:25:19.380269,GPU306_CPU1036,306,1036,306,1036,short_long,prefill,128,256,2,82.8365390188992,82.8756419941783,82.8756419941783,1,12.066271535733579,4.799,9.598,9.598,4.799,0.20837674515524066,4.392,0.399,4.807,54.2,54.2,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-14T04:25:21.037437,GPU306_CPU1036,306,1036,306,1036,medium_medium,prefill,512,128,0,847.6590989157557,847.7144900243729,847.7144900243729,1,1.1796424524620885,11.8,11.8,12.903,11.8,0.0847457627118644,5.988,0.399,5.413,53.9,54.0,2,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-14T04:25:21.945937,GPU306_CPU1036,306,1036,306,1036,medium_medium,prefill,512,128,1,99.12732592783868,99.17721408419311,99.17721408419311,1,10.082961184522526,4.9,9.799,9.799,4.9,0.2040816326530612,4.392,0.399,5.008,53.8,53.8,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-14T04:25:22.853696,GPU306_CPU1036,306,1036,306,1036,medium_medium,prefill,512,128,2,98.15834392793477,98.20973500609398,98.20973500609398,1,10.182289972963977,9.748,9.748,9.799,9.748,0.10258514567090686,4.392,0.399,4.958,53.9,54.0,2,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-14T04:25:24.910306,GPU306_CPU1036,306,1036,306,1036,long_medium,prefill,1024,128,0,1246.963607147336,1247.02744721435,1247.02744721435,1,0.8019069686347579,18.4,12.267,13.402,18.4,0.05434782608695653,6.387,0.399,5.481,53.9,54.0,3,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
