timestamp,config_name,gpu_freq_mhz,cpu_freq_mhz,target_gpu_freq_mhz,target_cpu_freq_mhz,workload,phase,prompt_length,output_length,repeat,ttft_ms,tpot_ms,total_time_ms,output_tokens,tokens_per_second,total_energy_j,avg_power_w,max_power_w,energy_per_token_j,tokens_per_joule,avg_gpu_soc_w,avg_cpu_cv_w,avg_sys_5v0_w,avg_temp_cpu_c,max_temp_cpu_c,power_samples,model,runtime,phase_note
2026-05-14T03:59:50.758892,GPU306_CPU1036,306,1036,306,1036,short_short,mixed,128,64,0,82.72829302586615,80.63979163425901,5163.291953969747,64,12.395192944840979,88.326,16.059,16.906,1.38009375,0.724588456400154,8.492,0.472,7.095,51.6,52.0,11,Phi-3-mini-Q4,llama.cpp,
2026-05-14T03:59:56.732454,GPU306_CPU1036,306,1036,306,1036,short_short,mixed,128,64,1,82.78682199306786,80.62932922297881,5162.7030309755355,64,12.396606896815188,87.074,15.832,16.906,1.36053125,0.7350070055355216,8.311,0.472,7.049,51.7,52.0,11,Phi-3-mini-Q4,llama.cpp,
2026-05-14T04:00:02.784880,GPU306_CPU1036,306,1036,306,1036,short_short,mixed,128,64,2,83.07391591370106,85.96891910225774,5241.473113885149,61,11.63794961351711,87.48,15.905,16.507,1.4340983606557378,0.697302240512117,8.421,0.399,7.086,51.8,51.9,11,Phi-3-mini-Q4,llama.cpp,
2026-05-14T04:00:25.047704,GPU306_CPU1036,306,1036,306,1036,short_long,mixed,128,256,0,82.76964398100972,83.78091492215354,21447.8226210922,256,11.935943546467263,349.792,16.269,16.906,1.366375,0.7318635074558595,8.69,0.427,7.153,52.0,52.4,43,Phi-3-mini-Q4,llama.cpp,
2026-05-14T04:00:47.366362,GPU306_CPU1036,306,1036,306,1036,short_long,mixed,128,256,1,88.8282679952681,83.97607184289133,21503.66565096192,256,11.904947005560812,350.848,16.319,16.903,1.3705,0.7296607077708865,8.69,0.436,7.192,52.3,52.7,43,Phi-3-mini-Q4,llama.cpp,
2026-05-14T04:01:09.679355,GPU306_CPU1036,306,1036,306,1036,short_long,mixed,128,256,2,88.75884092412889,83.95243689381317,21497.54816084169,256,11.908334759138267,349.674,16.264,16.906,1.3659140625,0.7321104800471296,8.691,0.408,7.164,52.4,52.8,43,Phi-3-mini-Q4,llama.cpp,
2026-05-14T04:01:22.726501,GPU306_CPU1036,306,1036,306,1036,medium_medium,mixed,512,128,0,846.5685350820422,89.66480351903836,12234.480704879388,128,10.46223399976026,198.004,15.84,16.806,1.54690625,0.6464515868366296,8.465,0.431,6.945,52.5,52.8,25,Phi-3-mini-Q4,llama.cpp,
2026-05-14T04:01:35.003934,GPU306_CPU1036,306,1036,306,1036,medium_medium,mixed,512,128,1,93.55666302144527,89.53676729895703,11465.210121124983,128,11.164208823714123,185.368,16.119,16.806,1.4481875,0.6905183203141858,8.611,0.451,7.057,52.6,52.9,23,Phi-3-mini-Q4,llama.cpp,
2026-05-14T04:01:47.277797,GPU306_CPU1036,306,1036,306,1036,medium_medium,mixed,512,128,2,93.28909614123404,89.50866788889714,11461.409895215183,128,11.167910507540299,184.913,16.079,16.806,1.4446328125,0.6922174211656292,8.611,0.416,7.052,52.6,52.9,23,Phi-3-mini-Q4,llama.cpp,
2026-05-14T04:01:59.895084,GPU306_CPU1036,306,1036,306,1036,long_medium,mixed,1024,128,0,1246.6133248526603,83.12979820514406,11804.589323932305,128,10.843240411633488,194.32,16.193,17.007,1.518125,0.6587072869493619,8.652,0.416,7.126,52.7,53.1,24,Phi-3-mini-Q4,llama.cpp,
