timestamp,control_mode,gpu_cap_mhz,emc_cap_mhz,cpu_cap_mhz,workload,prompt_length,output_length,target_output_tokens,repeat,ttft_ms,tpot_ms,total_time_ms,tokens_per_second,output_tokens,prompt_tokens,benchmark_mode,is_complete_output,completion_ratio,total_energy_j,avg_power_w,max_power_w,temperature_c,target_gpu_cap_mhz,target_emc_cap_mhz,target_cpu_cap_mhz,actual_gpu_mhz,actual_emc_mhz,actual_cpu_mhz,governor_gpu,governor_cpu,temperature_start_c,temperature_end_c,energy_per_token_j,tokens_per_joule,model,experiment
2026-06-03T12:03:12.415352,cap,612,3199,1036,p64_o64,64,64,64,0,73.89835093636066,71.26967615950556,4564.155724947341,14.022308583859374,64,60,True,True,1.0,110.904,24.645,25.811,0.0,612,3199,1036,612,204,1036,performance,schedutil,69.843,69.437,1.732875,0.5770756690471038,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:03:20.339822,cap,612,3199,1036,p64_o64,64,64,64,1,43.74576697591692,41.105460952080435,2633.6516949813813,24.300859571505505,64,60,True,True,1.0,132.017,44.006,48.662,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.437,69.875,2.062765625,0.48478605028140315,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:03:28.239134,cap,612,3199,1036,p64_o64,64,64,64,2,43.666757992468774,40.931642746611956,2622.6220750249922,24.403058530417546,64,60,True,True,1.0,133.112,44.371,49.359,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.343,69.5,2.079875,0.48079812488731294,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:03:38.781033,cap,612,3199,1036,p128_o128,128,128,128,0,43.63414808176458,41.12110859769448,5266.4948120946065,24.30459054208988,128,120,True,True,1.0,259.014,47.093,49.46,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.062,69.812,2.023546875,0.49418178167975474,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:03:49.282446,cap,612,3199,1036,p128_o128,128,128,128,1,43.95984299480915,41.15685374076354,5271.449996042065,24.281744130382638,128,120,True,True,1.0,259.362,47.157,49.859,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.187,69.437,2.026265625,0.49351871129926506,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:03:59.774995,cap,612,3199,1036,p128_o128,128,128,128,2,42.80627297703177,41.134610606218125,5267.387483967468,24.300471607528035,128,120,True,True,1.0,259.465,47.175,49.46,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.0,69.625,2.0270703125,0.49332279883606656,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:04:27.183795,cap,612,3199,1036,p128_o512,128,512,512,0,42.841118993237615,43.31002744810506,22176.238297019154,23.08777499332793,512,120,True,True,1.0,1035.645,47.075,49.061,0.0,612,3199,1036,1300,204,1036,performance,schedutil,68.968,69.75,2.022744140625,0.49437789976294966,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:04:54.615786,cap,612,3199,1036,p128_o512,128,512,512,1,44.342682929709554,43.32596328179671,22185.92204793822,23.077697600022944,512,120,True,True,1.0,1037.693,47.168,49.161,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.187,70.0,2.026744140625,0.4934021912068406,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:05:21.968972,cap,612,3199,1036,p128_o512,128,512,512,2,43.72517508454621,43.179584786691386,22110.41581700556,23.15650706153661,512,120,True,True,1.0,1048.664,47.667,49.46,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.281,70.375,2.048171875,0.48824027524545516,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:05:38.317894,cap,612,3199,1036,p256_o256,256,256,256,0,125.38498791400343,43.06068300023018,11106.839504907839,23.04886100918987,256,255,True,True,1.0,526.709,47.883,49.46,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.5,70.0,2.05745703125,0.4860368818455732,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:05:54.701177,cap,612,3199,1036,p256_o256,256,256,256,1,125.34754094667733,43.19716409423991,11141.584416967817,22.97698338219569,256,255,True,True,1.0,519.886,47.262,48.96,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.468,70.0,2.0308046875,0.49241564496832,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:06:11.045658,cap,612,3199,1036,p256_o256,256,256,256,2,125.0251360470429,43.05343427832293,11104.607452987693,23.053493883849377,256,255,True,True,1.0,526.216,47.838,49.46,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.5,70.0,2.05553125,0.48649223892850085,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:06:22.172790,cap,612,3199,1036,p512_o128,512,128,128,0,354.0163269499317,43.533267638477405,5883.236869005486,21.75673066545039,128,510,True,True,1.0,281.124,46.854,48.759,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.281,69.812,2.19628125,0.45531509227244915,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:06:33.311099,cap,612,3199,1036,p512_o128,512,128,128,1,354.2191640008241,43.67704097709552,5901.706951088272,21.68864043247638,128,510,True,True,1.0,278.116,46.353,48.759,0.0,612,3199,1036,1300,204,1036,performance,schedutil,68.906,69.468,2.17278125,0.4602396122481267,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:06:44.433843,cap,612,3199,1036,p512_o128,512,128,128,2,352.20513795502484,43.53351847316307,5881.505183991976,21.763136475401705,128,510,True,True,1.0,280.308,46.718,48.86,0.0,612,3199,1036,1300,204,1036,performance,schedutil,68.937,69.375,2.18990625,0.4566405525350686,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:07:11.966105,cap,612,3199,1036,p512_o512,512,512,512,0,352.38112800288945,42.92216935626062,22287.609225022607,22.972405646145777,512,510,True,True,1.0,1057.74,48.079,49.859,0.0,612,3199,1036,1300,204,1036,performance,schedutil,68.781,69.75,2.0658984375,0.48405090097755593,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:07:39.489748,cap,612,3199,1036,p512_o512,512,512,512,1,351.0928739560768,42.90843851077908,22279.25253403373,22.981022330882514,512,510,True,True,1.0,1057.613,48.073,49.859,0.0,612,3199,1036,1300,204,1036,performance,schedutil,68.968,69.875,2.065650390625,0.4841090266477435,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:08:07.010154,cap,612,3199,1036,p512_o512,512,512,512,2,351.90598003100604,42.90992045390498,22280.80601093825,22.979420033038544,512,510,True,True,1.0,1059.348,48.152,49.859,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.125,70.187,2.0690390625,0.4833161529544588,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:08:57.709678,cap,612,3199,1036,p512_o1024,512,1024,1024,0,351.49624291807413,44.07016511729765,45439.26348397508,22.53557653638314,1024,510,True,True,1.0,2121.389,47.672,49.859,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.218,70.531,2.0716689453125,0.4827026066412148,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:09:48.576481,cap,612,3199,1036,p512_o1024,512,1024,1024,1,352.6596649317071,44.243734355884826,45618.02700790577,22.44726629283062,1024,510,True,True,1.0,2103.656,47.273,49.161,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.687,70.75,2.0543515625,0.4867716014405397,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:10:39.343519,cap,612,3199,1036,p512_o1024,512,1024,1024,2,350.88881896808743,44.14269100293838,45513.380015967414,22.498878343923284,1024,510,True,True,1.0,2125.288,47.759,49.859,0.0,612,3199,1036,1300,204,1036,performance,schedutil,70.125,70.968,2.0754765625,0.4818170525594649,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:10:50.676940,cap,612,3199,1036,p1024_o128,1024,128,128,0,810.7601440278813,41.58254298399841,6092.2399839619175,21.01033451357226,128,1020,True,True,1.0,281.17,46.862,49.959,0.0,612,3199,1036,1300,204,1036,performance,schedutil,70.187,70.468,2.196640625,0.45524060177117043,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:11:01.987092,cap,612,3199,1036,p1024_o128,1024,128,128,1,804.2626510141417,41.496114055516095,6074.779296992347,21.070724341108725,128,1020,True,True,1.0,283.962,47.327,50.358,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.875,70.343,2.218453125,0.4507645389171791,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
2026-06-03T12:11:13.318940,cap,612,3199,1036,p1024_o128,1024,128,128,2,807.2194699198008,41.566569386526766,6086.683686007746,21.02951403475267,128,1020,True,True,1.0,280.571,46.762,49.56,0.0,612,3199,1036,1300,204,1036,performance,schedutil,69.625,70.031,2.1919609375,0.4562125094895766,Meta-Llama-3.1-8B-Instruct-Q4_K_M,cap_profiling
