timestamp,control_mode,gpu_cap_mhz,emc_cap_mhz,cpu_cap_mhz,workload,prompt_length,output_length,target_output_tokens,repeat,ttft_ms,tpot_ms,total_time_ms,tokens_per_second,output_tokens,prompt_tokens,benchmark_mode,is_complete_output,completion_ratio,total_energy_j,avg_power_w,max_power_w,temperature_c,target_gpu_cap_mhz,target_emc_cap_mhz,target_cpu_cap_mhz,actual_gpu_mhz,actual_emc_mhz,actual_cpu_mhz,governor_gpu,governor_cpu,temperature_start_c,temperature_end_c,energy_per_token_j,tokens_per_joule,model,experiment
2026-05-24T07:34:49.412554,cap,612,3199,1036,p64_o64,64,64,64,0,55.757813970558345,52.21355823792576,3345.4876539763063,19.130245458814436,64,60,True,True,1.0,139.834,39.952,41.772,0.0,612,3199,1036,612,3199,1036,performance,schedutil,53.562,54.281,2.18490625,0.4576855414276928,Qwen2.5-7B-Instruct-Q4_K_M,cap_profiling
2026-05-24T07:34:58.286083,cap,612,3199,1036,p64_o64,64,64,64,1,55.88025494944304,52.2307331270967,3346.6830890392885,19.123412135916364,64,60,True,True,1.0,139.61,39.889,42.071,0.0,612,3199,1036,612,3199,1036,performance,schedutil,54.125,54.875,2.18140625,0.4584198839624668,Qwen2.5-7B-Instruct-Q4_K_M,cap_profiling
2026-05-24T07:35:07.167265,cap,612,3199,1036,p64_o64,64,64,64,2,55.73547095991671,52.26606446030062,3348.769875941798,19.11149537619417,64,60,True,True,1.0,138.795,39.656,41.873,0.0,612,3199,1036,612,3199,1036,performance,schedutil,54.875,55.218,2.168671875,0.46111171151698555,Qwen2.5-7B-Instruct-Q4_K_M,cap_profiling
2026-05-24T07:35:19.394063,cap,612,3199,1036,p128_o128,128,128,128,0,55.8893020497635,52.29895377960643,6698.357216082513,19.10916301875878,128,120,True,True,1.0,279.127,39.875,42.183,0.0,612,3199,1036,612,3199,1036,performance,schedutil,55.25,56.125,2.1806796875,0.45857262106496327,Qwen2.5-7B-Instruct-Q4_K_M,cap_profiling
2026-05-24T07:35:31.569896,cap,612,3199,1036,p128_o128,128,128,128,1,54.323062999174,52.31594744021088,6698.949395911768,19.107473789564043,128,120,True,True,1.0,280.25,40.036,42.183,0.0,612,3199,1036,612,3199,1036,performance,schedutil,55.906,56.906,2.189453125,0.4567350579839429,Qwen2.5-7B-Instruct-Q4_K_M,cap_profiling
2026-05-24T07:35:43.756111,cap,612,3199,1036,p128_o128,128,128,128,2,54.35648502316326,52.3803013543723,6707.230066996999,19.08388391652546,128,120,True,True,1.0,278.915,39.845,41.885,0.0,612,3199,1036,612,3199,1036,performance,schedutil,56.625,57.375,2.1790234375,0.4589211767025796,Qwen2.5-7B-Instruct-Q4_K_M,cap_profiling
2026-05-24T07:36:17.031041,cap,612,3199,1036,p128_o512,128,512,512,0,54.72730309702456,54.2809628335205,27794.30318600498,18.421041051959268,512,120,True,True,1.0,1118.92,40.688,42.284,0.0,612,3199,1036,612,3199,1036,performance,schedutil,57.281,59.218,2.185390625,0.45758409895256136,Qwen2.5-7B-Instruct-Q4_K_M,cap_profiling
2026-05-24T07:36:50.338721,cap,612,3199,1036,p128_o512,128,512,512,1,56.136419996619225,54.313461812041744,27812.32337898109,18.409105669573055,512,120,True,True,1.0,1121.156,40.769,42.284,0.0,612,3199,1036,612,3199,1036,performance,schedutil,58.968,60.906,2.1897578125,0.4566715069089404,Qwen2.5-7B-Instruct-Q4_K_M,cap_profiling
2026-05-24T07:37:23.637109,cap,612,3199,1036,p128_o512,128,512,512,2,56.11245695035905,54.29428315073536,27802.42808291223,18.41565774302578,512,120,True,True,1.0,1123.29,40.847,41.985,0.0,612,3199,1036,612,3199,1036,performance,schedutil,60.375,61.656,2.19392578125,0.45580393308940703,Qwen2.5-7B-Instruct-Q4_K_M,cap_profiling
2026-05-24T07:37:33.516698,cap,612,3199,1036,p256_o256,256,256,256,0,138.8050781097263,52.46346621133853,4388.292545103468,18.4582042257828,81,255,True,False,0.31640625,182.608,40.58,42.272,0.0,612,3199,1036,612,3199,1036,performance,schedutil,61.687,61.812,2.25441975308642,0.44357311837378427,Qwen2.5-7B-Instruct-Q4_K_M,cap_profiling
