strategy,workload,mean_energy_j,std_energy_j,mean_ttft_ms,mean_tpot_ms,mean_time_ms
default,long_long,82.94079797283192,14.392000361088183,206.11535505779497,7.210915890219513,3887.4771237597442
default,long_medium,20.898452945990122,2.804493979601306,219.71305186600165,7.215750243260482,1132.5746198174372
default,medium_medium,21.245951120362655,2.5015055235091674,109.36514477711198,7.556918780811948,1065.4275821312706
default,short_long,43.53986153243026,6.983448822961741,36.67268553949885,7.934848841427149,2056.1216113857427
default,short_short,10.09824808751918,0.989697863230816,35.016730089259376,7.846380170907752,525.6037753060687
energy_efficient,long_long,163.47395990412673,19.197835563574124,215.31309262813988,16.076552083102186,8688.960255134753
energy_efficient,long_medium,42.994394818275644,4.916533473199038,219.30715386893098,16.128661803667672,2531.402766483331
energy_efficient,medium_medium,41.47242084978011,6.130816913906145,117.03163543800338,16.97143174083353,2408.5675950091945
energy_efficient,short_long,85.82587169588038,17.430567439920736,37.00946988599757,17.611783587024675,4565.630264143208
energy_efficient,short_short,20.83747521698997,3.1743956173063257,37.462682981266596,17.62977074222677,1185.6655874832643
max_perf,long_long,53.96124108577236,5.656626835357615,219.25154801824664,4.274732165783428,2312.1201264108618
max_perf,long_medium,15.100077082810108,2.998795850499482,219.348760722161,4.270007310937329,670.0600094535533
max_perf,medium_medium,14.909851229523914,2.1102450350765976,104.88258659611566,4.494420194832818,630.7389769440044
max_perf,short_long,27.49994853757202,3.6685134310058523,37.29735312065552,4.666491778477633,1209.8458974148548
max_perf,short_short,7.6365149226844125,0.8285482278930721,37.75268963416387,4.652929868623635,313.24293158791767
oracle,long_long,83.61691694129996,9.695984130411116,217.9562421164498,7.200293088892359,3893.673915304137
oracle,long_medium,22.69960326381443,3.29876910366523,214.67101020690643,7.167470364546242,1121.488322059587
oracle,medium_medium,22.573726359565345,2.7372289967337338,110.47274177091852,7.604995396275838,1072.4974543851338
oracle,short_long,25.977449961403543,2.2702487295625864,38.51774788848477,4.683392265248159,1214.5791562147328
oracle,short_short,10.29723057054396,1.6468315075325164,36.61327621354932,7.9152804661408,531.1600174086473
phase_aware,long_long,49.21414463840156,11.66163356895783,128.79473911243954,6.3475335317500745,3518.0950952128305
phase_aware,long_medium,19.021475680141577,2.5470128077468823,130.34894846614574,6.384566126731701,1086.9346584143937
phase_aware,medium_medium,16.862201185213827,2.9060570859075856,73.3366450331194,6.724696951142318,1072.6935916073217
phase_aware,short_long,29.895506170694205,7.955243403006276,26.408235085703467,6.96393332564441,1947.1748121879725
phase_aware,short_short,10.186948098493671,1.551817324366228,27.251733560572454,6.97743229507825,611.9155398345334
