timestamp,config_name,gpu_freq_mhz,cpu_freq_mhz,target_gpu_freq_mhz,target_cpu_freq_mhz,workload,prompt_length,output_length,repeat,ttft_ms,tpot_ms,total_time_ms,output_tokens,tokens_per_second,model,runtime
2026-05-13T04:41:20.344936,GPU306_CPU1497,306,1497,306,1497,long_medium,1024,128,1,150.78457305207849,150.7730696214671,19299.316344084218,128,6.632359287650911,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:41:20.497807,GPU306_CPU1497,306,1497,306,1497,long_medium,1024,128,2,152.34017092734575,152.34017092734575,152.34017092734575,0,0.0,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:42:41.495768,GPU306_CPU1497,306,1497,306,1497,long_long,1024,512,0,151.4245409052819,158.20819033863873,80997.12465889752,512,6.321212044948275,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:42:41.647752,GPU306_CPU1497,306,1497,306,1497,long_long,1024,512,1,151.409582933411,151.409582933411,151.409582933411,0,0.0,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:42:41.798449,GPU306_CPU1497,306,1497,306,1497,long_long,1024,512,2,150.1694149337709,150.1694149337709,150.1694149337709,0,0.0,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:43:00.691505,GPU306_CPU2201,306,2201,306,2201,short_short,128,64,0,99.47881498374045,98.97141623872496,6334.808211075142,64,10.102910438252705,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:43:07.037098,GPU306_CPU2201,306,2201,306,2201,short_short,128,64,1,99.53864989802241,99.13202161930265,6344.9877528473735,64,10.086701896513416,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:43:13.388686,GPU306_CPU2201,306,2201,306,2201,short_short,128,64,2,100.7390080485493,99.20796325489405,6350.9764350019395,64,10.077190595020756,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:43:39.278186,GPU306_CPU2201,306,2201,306,2201,short_long,128,256,0,99.66308902949095,101.13231756030491,25888.850874034688,256,9.888426537183854,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:44:03.643466,GPU306_CPU2201,306,2201,306,2201,short_long,128,256,1,100.77486094087362,100.66332189599052,24364.646950969473,241,9.891380756921272,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:44:29.500573,GPU306_CPU2201,306,2201,306,2201,short_long,128,256,2,100.44727101922035,101.00231326970399,25856.48847394623,256,9.90080305212184,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:44:46.475265,GPU306_CPU2201,306,2201,306,2201,medium_medium,512,128,0,3740.0868139229715,104.20278415054553,16974.084044108167,128,7.540907637041527,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:44:46.581234,GPU306_CPU2201,306,2201,306,2201,medium_medium,512,128,1,105.54449097253382,105.54449097253382,105.54449097253382,0,0.0,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:44:46.687138,GPU306_CPU2201,306,2201,306,2201,medium_medium,512,128,2,105.48794898204505,105.48794898204505,105.48794898204505,0,0.0,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:45:06.479639,GPU306_CPU2201,306,2201,306,2201,long_medium,1024,128,0,5152.131238952279,115.27187079484538,19791.90196096897,128,6.4672915343065585,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:45:20.849420,GPU306_CPU2201,306,2201,306,2201,long_medium,1024,128,1,113.31069306470454,112.24906500722246,14369.189271936193,128,8.907948637714094,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:45:35.208510,GPU306_CPU2201,306,2201,306,2201,long_medium,1024,128,2,113.3527650963515,112.16455538515149,14358.489918056875,128,8.914586473263489,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:46:35.976004,GPU306_CPU2201,306,2201,306,2201,long_long,1024,512,0,113.56808198615909,118.69342649882248,60766.82516396977,512,8.425649992713097,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:47:35.104839,GPU306_CPU2201,306,2201,306,2201,long_long,1024,512,1,113.29676397144794,117.7843447602354,59128.08636203408,501,8.473130635962711,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:48:35.530560,GPU306_CPU2201,306,2201,306,2201,long_long,1024,512,2,113.40742604807019,118.02494254395177,60425.05234316923,512,8.473306685647898,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:49:03.039130,GPU612_CPU1036,612,1036,612,1036,short_short,128,64,0,187.3884629458189,186.0577103955346,11909.285333007574,64,5.373958068047852,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:49:14.944673,GPU612_CPU1036,612,1036,612,1036,short_short,128,64,1,187.36362596973777,185.98444357381337,11904.640909982845,64,5.376054639861643,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:49:26.846412,GPU612_CPU1036,612,1036,612,1036,short_short,128,64,2,187.15869588777423,185.9275656382716,11900.856958003715,64,5.377763990092991,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:50:15.131522,GPU612_CPU1036,612,1036,612,1036,short_long,128,256,0,187.35855794511735,188.61114536046836,48284.12770899013,256,5.301949359899791,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:51:03.483269,GPU612_CPU1036,612,1036,612,1036,short_long,128,256,1,188.85338306427002,188.86687499197092,48350.84539698437,256,5.294633380204902,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:51:44.876592,GPU612_CPU1036,612,1036,612,1036,short_long,128,256,2,746.4172239415348,190.80521640552314,41392.375093884766,213,5.145875285408985,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:52:17.626728,GPU612_CPU1036,612,1036,612,1036,medium_medium,512,128,0,8082.9759479966015,194.21855295186964,32749.2292819079,128,3.9084889265077383,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:52:17.824817,GPU612_CPU1036,612,1036,612,1036,medium_medium,512,128,1,197.4329890217632,197.4329890217632,197.4329890217632,0,0.0,Phi-3-mini-Q4,llama.cpp-0.3.22
2026-05-13T04:52:42.668041,GPU612_CPU1036,612,1036,612,1036,medium_medium,512,128,2,197.71730294451118,194.04772259881648,24842.269039014354,128,5.152508404082502,Phi-3-mini-Q4,llama.cpp-0.3.22
