sweep_type,metric,delta_metric,relative_delta,sensitivity_per_mhz,min_freq,max_freq,min_metric,max_metric,mean_metric
GPU,ttft_ms,3.6952150598032176,0.33356046258983674,0.0035192524379078264,378,1428,9.573880042250966,13.269095102054184,11.078096699808953
GPU,tpot_ms,12.492892988908011,1.3001864350693164,0.011897993322769534,378,1428,4.409171158894458,16.90206414780247,9.608539707801198
GPU,energy_per_token_j,0.0460451933897669,0.36859183521365124,4.385256513311133e-05,378,1428,0.101595114937267,0.1476403083270339,0.12492190274121828
GPU,tokens_per_second,2.325233733379136,0.01916569999937826,0.002214508317503939,378,1428,120.2183751197718,122.54360885315094,121.32266149707903
GPU,avg_power_w,7.264406665101056,0.37811195825465216,0.006918482538191482,378,1428,16.34317657786754,23.607583242968595,19.2123166340288
CPU,ttft_ms,2.076363012737545,0.1759261477477606,0.0020867969977261757,1020,2015,10.603981986406923,12.680344999144468,11.802469611933939
CPU,tpot_ms,0.12400692608190145,0.01641712183238879,0.00012463007646422257,1020,2015,7.493607854626827,7.617614780708728,7.553511958305161
CPU,energy_per_token_j,0.026741229542634207,0.20975278290568547,2.687560758053689e-05,1020,2015,0.1128720101883726,0.1396132397310068,0.12748927176169242
CPU,tokens_per_second,2.2147980538434524,0.018518777951380936,0.002225927692304977,1020,2015,118.73683901293325,120.9516370667767,119.59741942250007
CPU,avg_power_w,1.1776405018156595,0.056972616337216266,0.0011835582932820698,1020,2015,20.10430113152296,21.28194163333862,20.670290001170063
EMC,ttft_ms,3.0365773663712634,0.27397697661586723,0.0015182886831856318,133,2133,9.382700277802948,12.419277644174212,11.083330445786814
EMC,tpot_ms,0.15210743244104385,0.019860297117048016,7.605371622052192e-05,133,2133,7.579847731423328,7.731955163864372,7.658869932538688
EMC,energy_per_token_j,0.03816207996887841,0.27176538433865677,1.9081039984439204e-05,133,2133,0.1174154934641723,0.1555775734330507,0.14042288741719677
EMC,tokens_per_second,1.6924390332860924,0.014255017911820019,0.0008462195166430462,133,2133,117.7435386554594,119.4359776887455,118.72584403298087
EMC,avg_power_w,1.9423282884487456,0.08664110567668087,0.0009711641442243728,133,2133,21.36725573180317,23.309584020251915,22.418092120118406
